epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,32.7721,1.93794,3.33242,1.69139,0.63468,0.09192,0.16268,0.07084,1.95533,3.04248,1.68694,0.00032967,0.00032967,0.00032967
2,60.8076,1.83184,2.50152,1.61997,0.38713,0.27124,0.1918,0.07218,2.03131,2.94155,1.86589,0.00065644,0.00065644,0.00065644
3,89.3226,1.82162,2.33329,1.63599,0.38029,0.26373,0.20415,0.08394,2.08232,2.60148,1.92344,0.00097661,0.00097661,0.00097661
4,117.127,1.7966,2.18129,1.62904,0.46446,0.2467,0.2566,0.10342,1.93503,2.72898,1.76574,0.0009703,0.0009703,0.0009703
5,146.185,1.78783,2.01635,1.60004,0.47507,0.35177,0.30768,0.13358,1.98266,2.20115,1.76584,0.0009604,0.0009604,0.0009604
6,173.859,1.76872,1.9643,1.58314,0.32342,0.31185,0.31264,0.1355,1.95651,2.29459,1.73542,0.0009505,0.0009505,0.0009505
7,202.405,1.70853,1.85648,1.54286,0.54084,0.42326,0.36515,0.17527,1.85618,2.15142,1.72066,0.0009406,0.0009406,0.0009406
8,230.496,1.6924,1.78187,1.54512,0.50427,0.39448,0.31369,0.14102,1.94245,2.26431,1.75906,0.0009307,0.0009307,0.0009307
9,259.353,1.70912,1.76521,1.55679,0.56331,0.38345,0.39271,0.17211,1.89618,2.0677,1.69525,0.0009208,0.0009208,0.0009208
10,287.818,1.68301,1.68929,1.52479,0.61859,0.38748,0.39374,0.17145,1.91299,1.99909,1.74544,0.0009109,0.0009109,0.0009109
11,315.989,1.66541,1.61828,1.5129,0.62852,0.35052,0.36913,0.16035,1.95281,2.43138,1.80621,0.000901,0.000901,0.000901
12,345.018,1.65762,1.59309,1.51881,0.64526,0.39347,0.41071,0.18228,1.89303,2.08949,1.70935,0.0008911,0.0008911,0.0008911
13,373.666,1.61645,1.53991,1.48318,0.63723,0.46606,0.44202,0.21051,1.88257,1.98306,1.71094,0.0008812,0.0008812,0.0008812
14,401.973,1.62788,1.498,1.49122,0.40893,0.44252,0.38591,0.1699,1.9217,2.17484,1.70937,0.0008713,0.0008713,0.0008713
